visit_date,waterpoint_name,waterpoint_type,latitude,longitude,govt_staff_available,committee_permission,functionality_survey,status_changed,photo_waterpoint,water_available,latrines_within_50m,cemetery_within_50m,waste_within_50m,river_within_50m,lake_within_50m,flood_area,difficult_access,flowrate_possible,flowrate_seconds,strokes_to_discharge,water_available_today,reason_no_water,seasonal_variation,when_no_water,pumphead_disassemble,reason_no_disassemble,reason_no_disassemble_other,install_date,borehole_age,pump_manufacturer,pump_manufacturer_other,drilling_contractor,install_depth,static_water_level,pumping_test_info,drilling_report_info,water_quality_info,repaired_before,repair_attempts,borehole_issues,borehole_issues_other,operational_feel,operational_feel_other,parts_for_repair,photo_parts
2/12/2020,kanyenda salvation army  church borehole,Borehole or tubewell,-15.7212184,35.2655769,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/af5da02478cc48ae8f3ee975a917056f,Yes,Yes,No,No,No,No,No,No,Yes,75.743,1,Yes,NA,No,NA,Yes,NA,NA,9/1/2008,12,Could Not Determine (No plaque available),NA,Unknown,NA,3.34,No,No,No,Yes,Countless times,Other,No Any other issues,Normal/satisfactory,NA,Apron,https://api.mwater.co/v3/images/4c104161c5f042dd8e2e662b5b1036b8
2/12/2020,Balala borehole 1,Borehole or tubewell,-15.7238059,35.2710081,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/ef9b6b1a950347aba3c227b004050601,Yes,Yes,No,No,No,No,No,No,Yes,69.672,2,Yes,NA,No,NA,No,The handpump is locked,NA,9/14/2014,6,Maya Engineering,NA,Unknown,NA,NA,No,No,No,Yes,Countless times,"It is shallow, Not enough water to meet 250 people demand",NA,Significant sideways movement on handle (loose/wobbly),NA,NA,https://api.mwater.co/v3/images/aff43b5a51ec46c1b3b7cf3855588e81
2/12/2020,Kadewere borehole 1,Borehole or tubewell,-15.6995506,35.2365836,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/942d3cee13214627a72a3b166c0397f6,Yes,Yes,No,No,No,No,No,No,Yes,71.781,3,Yes,NA,No,NA,Yes,NA,NA,1/30/2015,5,AOV International,NA,KCL,52,13,Yes,Yes,Yes,Yes,More than twice,"Not enough water to meet 250 people demand, Other",Wornout parts such as rod centralisers and cup seal,Normal/satisfactory,NA,"Centralisers, Cup Seal",https://api.mwater.co/v3/images/b135d9c88b694891a86b62262f0cbbf1; https://api.mwater.co/v3/images/45c633c856e44d5087e51c391af03a26
2/12/2020,Nakuba borehole,Borehole or tubewell,-15.7198369,35.303208,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/b64878efdcb04988abdfa27a9964a87c,Yes,No,No,No,No,No,No,No,Yes,76.335,1,Yes,NA,No,NA,Yes,NA,NA,9/1/2001,19,Other,Unknown,Unknown,NA,12.11,No,No,No,Yes,Countless times,NA,NA,Significant sideways movement on handle (loose/wobbly),NA,"Centralisers, Civil works, Bush Bearings",https://api.mwater.co/v3/images/a71e42e390664c498757d179f0c3b9bc; https://api.mwater.co/v3/images/9781537b805149c7af21e55a694978e1; https://api.mwater.co/v3/images/b916545a410f439e8571ee7897bcfbb1; https://api.mwater.co/v3/images/1c41ff9305fc410586c8aef490b9edd8
2/12/2020,Kadewere borehole 10,Borehole or tubewell,-15.7015983,35.2355622,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/3a551a4564504e8badea0d77abbe86ab,No,Yes,No,No,No,No,No,No,NA,NA,NA,No,System is down for maintenance or repair,No,NA,Yes,NA,NA,10/20/2014,6,AOV International,NA,ESS,45,47,Yes,Yes,Yes,Yes,More than 4 times,Other,"Worn out parts  centralisers, foot valve",Significant sideways movement on handle (loose/wobbly),NA,"Centralisers, Foot valve",https://api.mwater.co/v3/images/10b26c91b5c448ae99219e568b38582b
2/12/2020,Kherengeza borehole,Borehole or tubewell,-15.73640483,35.29455488,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/b0a9d064d8714c52abbe05b26b1cccf9,Yes,Yes,No,No,No,No,No,No,Yes,82.223,6,Yes,NA,Yes,"October, November",Yes,NA,NA,7/22/2009,11,AOV International,NA,Unknown,NA,2.63,No,No,No,Yes,Countless times,"Not enough water to meet 250 people demand, Other",Low water levels during dry season,Significant sideways movement on handle (loose/wobbly),NA,"Bush Bearings, Centralisers",https://api.mwater.co/v3/images/f82e8220a1534b7d84c15d6739307136; https://api.mwater.co/v3/images/d2d6c9e9b8c64d60a21b18d88517bafe; https://api.mwater.co/v3/images/38046e34a0104cbb98d833d62969d0ff
2/12/2020,Kadewere5 borehole,Borehole or tubewell,-15.6959,35.2329328,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/6466ee0470ab40dd8325b7e7f8cabb5c,No,No,No,No,No,No,No,No,NA,NA,NA,No,System is down for maintenance or repair,No,NA,Yes,NA,NA,2/20/2014,6,Apex International,NA,KLC,45,328,Yes,Yes,Yes,Yes,More than 4 times,Other,Shortage of rod and wornout centralisers,Normal/satisfactory,NA,"Rods, Centralisers",https://api.mwater.co/v3/images/c10264b5f38746cfacf537813c5bfcbc; https://api.mwater.co/v3/images/add9e980d4764461b44f7c882832ea02
2/12/2020,Nambazo borehole,Borehole or tubewell,-15.6935526,35.2480504,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/768af0f2fe2845259b2624def8392ef9,No,No,No,No,No,No,No,No,NA,NA,NA,No,Other,No,NA,No,Other,The head pump is no longer there,9/12/2014,6,AOV International,NA,KCL,52,NA,Yes,Yes,Yes,Yes,More than 4 times,Other,Theft of the pump head which has resulted into non fuctional of the water point,Other,The handle is not there,NA,https://api.mwater.co/v3/images/ec27510e899b4276a64c0fd810f31e48
2/12/2020,Namulu borehole,Borehole or tubewell,-15.746329,35.2446578,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/3a55dcdc345e411b98b5704f4d028938,Yes,Yes,No,No,No,No,No,No,Yes,62.672,1,Yes,NA,No,NA,Yes,NA,NA,5/6/2013,7,Apex International,NA,China Gansu,NA,8.2,No,No,No,Yes,Countless times,NA,NA,Normal/satisfactory,NA,"Civil works, Bush Bearings, Centralisers",https://api.mwater.co/v3/images/995e1ce41bc443d69907482b20c622f7; https://api.mwater.co/v3/images/3675ecdd68d3403c907818817d8d2039
2/12/2020,Chakwiya 1 borehole,Borehole or tubewell,-15.7074458,35.2711823,Yes,Yes,No,NA,https://api.mwater.co/v3/images/90b1f30d913c4a36a79a81254ed7cdef,Yes,No,No,No,No,No,No,No,Yes,61.863,2,Yes,NA,No,NA,Yes,NA,NA,9/4/2013,7,AOV International,NA,China Gansu,52,27,Yes,Yes,Yes,Yes,More than twice,Not enough water to meet 250 people demand,NA,Normal/satisfactory,NA,NA,NA
2/12/2020,Makatanje borehole 2,Borehole or tubewell,-15.7314245,35.2944294,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/2904a5c5eddc4f5aae57c70d61f0d374,Yes,No,Yes,No,No,No,No,No,No,NA,NA,No,Pipeline blockage / breakage,No,NA,Yes,NA,NA,1/20/2014,6,Other,DELTA international,Government,46,463,Yes,Yes,Yes,Yes,More than twice,Other,Wornout centralisers and pipes,Significant sideways movement on handle (loose/wobbly),NA,"Centralisers, Pipe",https://api.mwater.co/v3/images/d1e1d565cd334796bb53bf7a360ebc0f
2/12/2020,kilowe borehole 4,Borehole or tubewell,-15.7362011,35.2322584,Yes,Yes,Yes,Yes,https://api.mwater.co/v3/images/0bd9c92248c94ec09e2b0dbe74a1e430,No,Yes,Yes,No,No,No,No,No,NA,NA,NA,No,Vandalism,Yes,"September, October, August, November",Yes,NA,NA,9/1/2018,2,Ajay,NA,Everfresh investment,46,5.1,Yes,Yes,Yes,Yes,More than 4 times,"Not enough water to meet 250 people demand, Other",Low water levels,Significant friction (very stiff) at all times,NA,"Pedestal, Bolts",https://api.mwater.co/v3/images/5fe8db14bc84482d86c561f83237c681; https://api.mwater.co/v3/images/3fe322f3702947e0b004226b86674645; https://api.mwater.co/v3/images/204410afeeb442368d7e948206bb23b1; https://api.mwater.co/v3/images/4e3f42cc2fac47a6aab99b566a5ead90
2/12/2020,Kwacha borehole 1,Borehole or tubewell,-15.7171124,35.2840996,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/2076be57cf28434f911bf1a7173c94c8,Yes,Yes,No,No,No,No,No,No,Yes,69.414,5,Yes,NA,No,NA,No,Other,Sealed with cement,9/30/2013,7,AOV International,NA,China Gansu,52,NA,Yes,Yes,Yes,Yes,More than twice,Other,Wornout bush bearings and centilizers,Significant sideways movement on handle (loose/wobbly),NA,NA,NA
